v0,v1,v2,v3
1.547063,-0.000066,1.546593,-0.000058
1.547604,-0.000071,1.547043,-0.000042
1.546061,-0.000052,1.545420,-0.000049
1.545021,-0.000056,1.544473,-0.000044
1.544176,-0.000059,1.543614,-0.000054
1.543002,-0.000067,1.542451,-0.000065
1.546764,-0.000065,1.546350,-0.000055
1.549419,-0.000063,1.548862,-0.000069
1.545281,-0.000069,1.544659,-0.000050
1.543548,-0.000076,1.543025,-0.000064
1.544985,-0.000063,1.544486,-0.000060
1.542850,-0.000063,1.542213,-0.000050
1.542858,-0.000056,1.542384,-0.000057
1.549698,-0.000044,1.549375,-0.000047
1.548685,-0.000079,1.548034,-0.000066
1.542921,-0.000052,1.542332,-0.000048
1.544823,-0.000052,1.544403,-0.000052
1.546016,-0.000064,1.545488,-0.000063
1.543493,-0.000051,1.542947,-0.000053
1.546847,-0.000073,1.546463,-0.000057
1.550297,-0.000054,1.549801,-0.000058
1.543267,-0.000053,1.542543,-0.000060
1.541311,-0.000053,1.540845,-0.000047
1.546103,-0.000066,1.545698,-0.000048
1.544971,-0.000079,1.544358,-0.000055
1.544354,-0.000071,1.543838,-0.000058
1.548796,-0.000072,1.548375,-0.000059
1.547737,-0.000054,1.547106,-0.000049
1.542024,-0.000071,1.541379,-0.000046
1.543538,-0.000061,1.543101,-0.000068
1.545808,-0.000051,1.545321,-0.000065
1.545177,-0.000072,1.544641,-0.000040
1.546899,-0.000064,1.546434,-0.000065
1.548585,-0.000051,1.548083,-0.000062
1.545017,-0.000056,1.544404,-0.000051
1.541837,-0.000063,1.541217,-0.000071
1.544366,-0.000055,1.543877,-0.000049
1.546022,-0.000047,1.545576,-0.000049
1.546015,-0.000054,1.545497,-0.000072
1.546271,-0.000075,1.545765,-0.000061
1.546776,-0.000048,1.546236,-0.000040
1.544935,-0.000041,1.544317,-0.000054
1.543184,-0.000070,1.542660,-0.000072
1.544988,-0.000067,1.544520,-0.000060
1.547557,-0.000053,1.547044,-0.000071
1.546681,-0.000050,1.546094,-0.000068
1.544683,-0.000082,1.544150,-0.000038
1.545569,-0.000050,1.545051,-0.000045
1.543242,-0.000059,1.542629,-0.000063
1.541794,-0.000083,1.541331,-0.000057
1.547410,-0.000036,1.547042,-0.000059
1.549763,-0.000076,1.549198,-0.000058
1.544120,-0.000074,1.543471,-0.000046
1.544258,-0.000067,1.543819,-0.000069
1.546461,-0.000078,1.545941,-0.000078
1.542083,-0.000055,1.541433,-0.000058
1.544008,-0.000067,1.543597,-0.000069
1.550309,-0.000052,1.549875,-0.000051
1.546736,-0.000053,1.546054,-0.000033
1.542043,-0.000048,1.541475,-0.000064
1.545896,-0.000044,1.545422,-0.000052
1.545196,-0.000067,1.544604,-0.000051
1.542116,-0.000056,1.541613,-0.000050
1.547649,-0.000060,1.547255,-0.000056
1.550152,-0.000074,1.549573,-0.000077
1.542969,-0.000075,1.542250,-0.000052
1.542458,-0.000084,1.542000,-0.000055
1.547044,-0.000063,1.546570,-0.000057
1.544925,-0.000051,1.544302,-0.000060
1.545317,-0.000069,1.544880,-0.000050
1.549246,-0.000053,1.548812,-0.000047
1.545942,-0.000056,1.545279,-0.000071
1.540676,-0.000070,1.540055,-0.000059
1.544195,-0.000076,1.543825,-0.000069
1.546283,-0.000066,1.545803,-0.000056
1.545063,-0.000052,1.544495,-0.000051
1.547006,-0.000046,1.546529,-0.000062
1.547763,-0.000059,1.547239,-0.000054
1.545147,-0.000072,1.544566,-0.000061
1.543033,-0.000062,1.542527,-0.000038
1.545265,-0.000060,1.544793,-0.000045
1.546189,-0.000048,1.545680,-0.000059
1.545832,-0.000063,1.545315,-0.000059
1.545386,-0.000064,1.544837,-0.000046
1.545455,-0.000051,1.544987,-0.000036
1.544684,-0.000054,1.544106,-0.000058
1.543439,-0.000056,1.542831,-0.000057
1.546332,-0.000054,1.545886,-0.000062
1.548146,-0.000064,1.547652,-0.000063
1.545764,-0.000066,1.545182,-0.000074
1.543846,-0.000055,1.543329,-0.000062
1.545668,-0.000065,1.545205,-0.000048
1.544485,-0.000059,1.543883,-0.000049
1.542837,-0.000059,1.542325,-0.000059
1.548002,-0.000059,1.547622,-0.000074
1.549340,-0.000050,1.548768,-0.000045
1.544051,-0.000055,1.543382,-0.000061
1.544287,-0.000068,1.543809,-0.000045
1.546094,-0.000070,1.545631,-0.000038
1.542683,-0.000058,1.542082,-0.000070
1.544549,-0.000060,1.544129,-0.000052
1.550377,-0.000059,1.549984,-0.000069
1.547161,-0.000052,1.546479,-0.000049
1.542686,-0.000057,1.542097,-0.000037
1.546154,-0.000058,1.545753,-0.000060
1.546516,-0.000056,1.545924,-0.000049
1.544085,-0.000050,1.543499,-0.000063
1.547739,-0.000057,1.547349,-0.000061
1.548789,-0.000067,1.548223,-0.000057
1.542868,-0.000053,1.542206,-0.000047
1.542123,-0.000065,1.541691,-0.000059
1.546297,-0.000058,1.545857,-0.000067
1.545922,-0.000046,1.545382,-0.000042
1.547274,-0.000082,1.546843,-0.000065
1.549833,-0.000083,1.549334,-0.000068
1.545980,-0.000063,1.545332,-0.000070
1.542301,-0.000066,1.541744,-0.000055
1.543869,-0.000064,1.543430,-0.000062
1.546784,-0.000061,1.546294,-0.000073
1.546992,-0.000067,1.546474,-0.000030
1.546534,-0.000050,1.545998,-0.000063
1.545861,-0.000039,1.545273,-0.000061
1.544785,-0.000068,1.544239,-0.000041
1.543615,-0.000063,1.543047,-0.000053
1.544469,-0.000059,1.544013,-0.000053
1.548031,-0.000076,1.547593,-0.000067
1.547454,-0.000057,1.546816,-0.000046
1.545194,-0.000056,1.544651,-0.000039
1.545247,-0.000074,1.544794,-0.000057
1.544969,-0.000058,1.544438,-0.000074
1.543889,-0.000050,1.543393,-0.000055
1.547226,-0.000076,1.546804,-0.000050
1.550601,-0.000074,1.550104,-0.000062
1.545117,-0.000054,1.544458,-0.000042
1.542250,-0.000063,1.541715,-0.000062
1.545888,-0.000060,1.545467,-0.000047
1.544452,-0.000052,1.543857,-0.000047
1.542562,-0.000061,1.542082,-0.000069
1.549219,-0.000081,1.548855,-0.000052
1.549875,-0.000066,1.549276,-0.000063
1.543899,-0.000059,1.543277,-0.000063
1.545922,-0.000065,1.545473,-0.000054
1.546263,-0.000052,1.545680,-0.000040
1.541578,-0.000053,1.540944,-0.000044
1.545717,-0.000051,1.545417,-0.000066
1.551490,-0.000080,1.551072,-0.000076
1.545546,-0.000085,1.544824,-0.000062
1.541556,-0.000070,1.541000,-0.000052
1.545504,-0.000070,1.545082,-0.000075
1.546317,-0.000066,1.545734,-0.000061
1.544588,-0.000065,1.544039,-0.000049
1.548500,-0.000065,1.548124,-0.000050
1.549248,-0.000064,1.548678,-0.000058
1.543220,-0.000059,1.542588,-0.000049
1.543526,-0.000065,1.543104,-0.000048
1.546965,-0.000053,1.546542,-0.000054
1.545792,-0.000043,1.545215,-0.000044
1.546431,-0.000049,1.545993,-0.000050
1.550429,-0.000062,1.549985,-0.000043
1.546496,-0.000046,1.545800,-0.000059
1.541206,-0.000054,1.540604,-0.000053
1.543453,-0.000078,1.543004,-0.000065
1.546991,-0.000069,1.546573,-0.000045
1.548122,-0.000072,1.547623,-0.000036
1.547700,-0.000061,1.547167,-0.000065
1.547250,-0.000073,1.546661,-0.000047
1.545915,-0.000065,1.545358,-0.000064
1.545009,-0.000055,1.544522,-0.000054
1.546049,-0.000080,1.545567,-0.000052
1.548246,-0.000069,1.547794,-0.000058
1.546510,-0.000063,1.545938,-0.000049
1.544489,-0.000071,1.543941,-0.000044
1.546182,-0.000059,1.545704,-0.000060
1.545389,-0.000058,1.544843,-0.000059
1.543500,-0.000055,1.542957,-0.000048
1.547264,-0.000044,1.546889,-0.000072
1.551183,-0.000062,1.550688,-0.000041
1.546336,-0.000061,1.545678,-0.000052
1.543965,-0.000052,1.543493,-0.000063
1.546998,-0.000053,1.546527,-0.000033
1.544941,-0.000053,1.544323,-0.000049
1.543816,-0.000063,1.543330,-0.000065
1.549521,-0.000062,1.549207,-0.000065
1.548780,-0.000068,1.548160,-0.000061
1.543159,-0.000073,1.542575,-0.000066
1.545880,-0.000081,1.545514,-0.000058
1.546613,-0.000081,1.545979,-0.000058
1.542583,-0.000061,1.542018,-0.000056
1.546109,-0.000070,1.545756,-0.000033
1.550689,-0.000061,1.550188,-0.000050
1.546072,-0.000066,1.545440,-0.000053
1.543405,-0.000078,1.542896,-0.000053
1.546340,-0.000057,1.545896,-0.000058
1.546298,-0.000053,1.545764,-0.000043
1.546193,-0.000052,1.545685,-0.000057
1.548887,-0.000052,1.548428,-0.000057
